Rank,Peak,All Time Peak,Actualgross,Adjustedgross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1.0,2.0,780000000,780000000,Taylor Swift,The Eras Tour †,2023–2024,56,13928571,
2,1.0,7.0,579800000,579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,
3,1.0,2.0,411000000,560622615,Madonna,Sticky & Sweet Tour ‡,2008–2009,85,4835294,
4,2.0,10.0,397300000,454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,
5,2.0,2.25,345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,
6,2.0,10.0,305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709,
7,2.0,2.25,280000000,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,
7,0.7,2.25,257600000,257600000,Pink,Summer Carnival †,2023–2024,41,6282927,
9,0.7,2.25,256084556,312258401,Beyoncé,The Formation World Tour,2016,49,5226215,
10,0.7,2.25,250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,
11,0.7,2.25,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606,
12,0.7,14.0,227400000,295301479,Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227,
13,0.7,2.25,204000000,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,
14,1.0,2.25,200000000,299676265,Cher,Living Proof: The Farewell Tour ‡,2002–2005,325,615385,
15,2.0,2.25,194000000,281617035,Madonna,Confessions Tour,2006,60,3233333,
16,0.7,2.25,184000000,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,
17,0.7,2.25,170000000,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,
18,0.7,2.25,169800000,207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732,
19,0.7,2.25,167700000,204486106,Adele,Adele Live 2016,2016–2017,121,1385950,
20,0.7,2.25,150000000,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,
